词根序号,词根,词根含义,单词,音标,中文释义,词根词缀拆解
21,just，jur，juris,公正；法律,just,/dʒʌst/,adj. 正义的 adv. 刚刚；正在，正要；正（表强调）；只不过,just 表示“公正”
21,just，jur，juris,公正；法律,justify,"/ˈdʒʌstɪ,faɪ/",v. 证明……有理,just 公正 + 后缀 -ify 表示动词，“使……化”
21,just，jur，juris,公正；法律,justice,/ˈdʒʌstɪs/,n. 公正；正当性；司法；法官,just 公正 + 后缀 -ice 表示名词→公正，正当性
21,just，jur，juris,公正；法律,adjust,/əˈdʒʌst/,v. 调整以适应；调整；调节；适应,前缀 ad- 去 + just 法律→用法律去调节
21,just，jur，juris,公正；法律,adjustment,/əˈdʒʌstmənt/,n.（对机器、做事方法等的）调整；（对行为、思想 等的）调整,adjust 调整 + 后缀 -ment 表示名词
21,just，jur，juris,公正；法律,jury,/ˈdʒʊərɪ/,n. 陪审团；（竞赛的）评委会,jur 法律 + 后缀 -y 表示名词
21,just，jur，juris,公正；法律,injure,/ˈɪndʒə/,v. 使受伤，伤害,前缀 in- 不 + jur 公正 + e →不公正导致伤害
21,just，jur，juris,公正；法律,injury,/ˈɪndʒərɪ/,n. 伤害，损害,injure 受伤 + 后缀 -y 表示名词
21,just，jur，juris,公正；法律,jurisdiction,"/,dʒʊərɪsˈdɪkʃən/",n. 司法权，管辖权；管辖范围,juris 法律 + dict 说 + 后缀 -ion 表示名词→由法律说了算（的领域）
22,loc，loco,地方,local,/ˈləʊkəl/,adj. 本地的，当地的；地方的；（身体上）局部的 n. 当地居民,loc 地方 + 后缀 -al 表示形容词或表示名词→地方的
22,loc，loco,地方,locate,/ləʊˈkeɪt/,v. 找到；把……建在；定居，营业,loc 地方 + 后缀 -ate 表示动词，“使……”→把地方定下来
22,loc，loco,地方,location,/ləʊˈkeɪʃən/,n. 地点；准确位置；外景拍摄地,locate 找到 + 后缀 -ion 表示名词
22,loc，loco,地方,allocate,"/ˈælə,keɪt/",v. 分配,前缀 al- 去 + loc 地方 + 后缀 -ate 表示动词，“使……”→某物去某地就是“分配”
22,loc，loco,地方,locomote,/ˈləʊkəməʊt/,v. 移动，行动,loco 地方+ mot 移动+ e →从一个地方移动到另一个地方
23,log，logue,说话；推理,logic,/ˈlɒdʒɪk/,n. 逻辑（学）；（结论或观点的）逻辑；（某种人或某行为领域 的）逻辑,log 推理 + 后缀 -ic 表示形容词，转化为名词→推理的依据（逻辑）
23,log，logue,说话；推理,logical,/ˈlɒdʒɪkəl/,adj. 逻辑的（观点或推理方式）；合乎逻辑的（观点或结 果）；合理的，明智的,logic 逻辑 + 后缀 -al 表示形容词
23,log，logue,说话；推理,dialogue,"/ˈdaɪə,lɒɡ/",n. 对话；（书籍、影视、戏剧中的）对白,前缀 dia- 二者之间 + logue 说话→对话
23,log，logue,说话；推理,apology,/əˈpɒlədʒɪ/,n. 表达歉意的言辞；（表达）歉意,前缀 apo- 离开 + log 说话 + 后缀 -y 表示名词→边说话边退步 表示歉意
23,log，logue,说话；推理,apologize,"/əˈpɒlə,dʒaɪz/",v. 表达歉意,apology 道歉 + 后缀 -ize 表示动词，“使……化”
23,log，logue,说话；推理,apologetic,"/ə,pɒləˈdʒɛtɪk/",adj. 表达歉意的,apology 道歉 + -et- + 后缀 -ic 表示形容词
23,log，logue,说话；推理,catalogue,/ˈkætəlɒg/,n. 目录；一连串（尤指不幸的事）,前缀 cata- 在……下 + logue 说话→下面即将要说的话
24,not,知晓,note,/nəʊt/,n. 便条；记录，笔记；注释；证明，单据 v. 注意到；注意；提 到；记录,not 知晓 + e →记录下来让别人知晓
24,not,知晓,notable,/ˈnəʊtəbəl/,adj. 值得注意的；有趣的,note 注意 + 后缀 -able 表示形容词，“能……的”
24,not,知晓,notice,/ˈnəʊtɪs/,v. 注意到，察觉 n. 告示；事先通知；启事；通告,not 知晓 + 后缀 -ice 表示名词，可转化为动词→让众人知晓的东西
24,not,知晓,notify,"/ˈnəʊtɪ,faɪ/",v. 通知,not 知晓 + 后缀 -ify 表示动词，“使……化”→让大家都知道
24,not,知晓,notion,/ˈnəʊʃən/,n. 想法,not 知晓 + 后缀 -ion 表示名词→知晓了想法
24,not,知晓,notorious,/nəʊˈtɔ:rɪəs/,adj. 声名狼藉的,not 知晓 + -ori- + 后缀 -ous 表示形容词→众所周知的（现用于贬义）
